"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"IDC381-8-110";1;"HEADER_1x08";;;
2;"J1";"Straight_2x03";1;"+9V";;;
3;"R41,R40";"SMD-0603";2;"83";;;
4;"R39,R38,R30,R29";"SMD-0603";4;"120";;;
5;"R37,R35,R34,R31";"SMD-0603";4;"75";;;
6;"R36";"SMD-0603";1;"100";;;
7;"U3,U7";"TSSOP14";2;"AD8343";;;
8;"U9";"SOT-223-3_TabPin2";1;"NCP1117ST50";;;
9;"U8";"SOT-223-3_TabPin2";1;"LM1117MP-3,3/NO";;;
10;"L21,L20,L19,L22";"SMD-0805";4;"BLM21PG331SN1D";;;
11;"R28,R27,R26,R25";"SMD-0603";4;"24.9";;;
12;"U10";"QFN-16-1EP_3x3mm_Pitch0.5mm_ThermalVias";1;"Si53322";;;
13;"C30,C27";"SMD-0603";2;"18pF";;;
14;"C28,C21,C65,C63,C36,C29,C7,C8,C9,C10,C47,C52,C54,C55,C58,C59,C60";"SMD-0603";17;"100nF";;;
15;"M3,M2,M1,M8,M7,M6,M5,M4";"MountingHole_3mm";8;"HOLE";;;
16;"U4";"UFF_QFN34";1;"LT6604-10";;;
17;"D6,D3,D5,D9,D7,D4,D1,D8";"SOT-23";8;"BAS70-04";;;
18;"D2";"D_SMA";1;"M4";;;
19;"C66,C64,C62,C61,C16,C20,C40,C56,C67,C3,C4,C5,C6,C17,C32,C39,C51,C69,C70,C71,C68";"SMD-0603";21;"10nF";;;
20;"R45,R44,R43,R42,R12,R9,R16,R13";"SMD-0603";8;"200";;;
21;"R33,R32";"SMD-0603";2;"127";;;
22;"C1";"C_1210_HandSoldering";1;"10uF/16V";;;
23;"R14,R11,R10,R15";"SMD-0603";4;"50";;;
24;"R8,R7,R18,R17";"SMD-0603";4;"X";;;
25;"C53,C57";"C_0805";2;"10uF";;;
26;"C2";"C_0805";1;"100nF";;;
27;"C41";"SMD-0603";1;"10n";;;
28;"L3,L4,L15,L16";"L_0805";4;"680nH";;;
29;"C11,C12,C13,C14,C15,C19,C23,C24,C25,C26,C31,C33,C34,C35,C37,C38,C43,C45,C46,C48,C49,C50";"SMD-0603";22;"3.9pF";;;
30;"C18,C22,C42,C44";"SMD-0603";4;"6.8pF";;;
31;"L1,L2,L5,L6,L7,L8,L9,L10,L36,L37,L38,L40,L41,L42,L35,L39";"SMD-0805";16;"270nH";;;
32;"L11,L12,L24,L25,L26,L27,L33,L34";"SMD-0805";8;"10nH";;;
33;"L13,L14,L17,L18,L23,L28,L29,L30,L31,L32";"L_0805";10;"18nH";;;
34;"R1,R2,R3,R4,R22,R23,R24,R21";"SMD-0603";8;"0";;;
35;"U1,U5";"DL1020";2;"MPGA-105+";;;
36;"U2,U6";"DL1020";2;"MGVA-63+";;;
